  Día         X          Y          Z         VX         VY         VZ 
0.000000  18.390212  -7.240803  -3.431346  0.562800  1.145664  0.493849 
5.475000  18.398654  -7.223618  -3.423938  0.561451  1.146195  0.494101 
10.950000  18.407076  -7.206425  -3.416527  0.560101  1.146725  0.494352 
16.425000  18.415478  -7.189224  -3.409112  0.558751  1.147253  0.494603 
21.900000  18.423859  -7.172015  -3.401692  0.557400  1.147781  0.494853 
27.375000  18.432220  -7.154799  -3.394270  0.556049  1.148307  0.495102 
32.850000  18.440560  -7.137574  -3.386843  0.554697  1.148832  0.495351 
38.325000  18.448881  -7.120342  -3.379413  0.553344  1.149355  0.495600 
43.800000  18.457181  -7.103101  -3.371979  0.551991  1.149877  0.495847 
49.275000  18.465461  -7.085853  -3.364541  0.550638  1.150398  0.496095 
54.750000  18.473721  -7.068597  -3.357100  0.549284  1.150918  0.496341 
60.225000  18.481960  -7.051333  -3.349655  0.547929  1.151436  0.496588 
65.700000  18.490179  -7.034062  -3.342206  0.546574  1.151953  0.496833 
71.175000  18.498377  -7.016783  -3.334753  0.545218  1.152469  0.497078 
76.650000  18.506556  -6.999496  -3.327297  0.543862  1.152983  0.497323 
82.125000  18.514714  -6.982201  -3.319837  0.542505  1.153497  0.497567 
87.600000  18.522851  -6.964898  -3.312374  0.541147  1.154008  0.497810 
93.075000  18.530968  -6.947588  -3.304907  0.539789  1.154519  0.498053 
98.550000  18.539065  -6.930270  -3.297436  0.538431  1.155028  0.498295 
104.025000  18.547142  -6.912945  -3.289961  0.537072  1.155536  0.498537 
109.500000  18.555198  -6.895612  -3.282483  0.535712  1.156043  0.498778 
114.975000  18.563233  -6.878271  -3.275002  0.534352  1.156549  0.499019 
120.450000  18.571249  -6.860923  -3.267516  0.532992  1.157053  0.499259 
125.925000  18.579244  -6.843567  -3.260028  0.531630  1.157556  0.499498 
131.400000  18.587218  -6.826204  -3.252535  0.530269  1.158057  0.499737 
136.875000  18.595172  -6.808833  -3.245039  0.528906  1.158558  0.499976 
142.350000  18.603106  -6.791455  -3.237539  0.527544  1.159057  0.500213 
147.825000  18.611019  -6.774069  -3.230036  0.526180  1.159554  0.500451 
153.300000  18.618911  -6.756676  -3.222529  0.524817  1.160051  0.500687 
158.775000  18.626784  -6.739275  -3.215019  0.523452  1.160546  0.500923 
164.250000  18.634636  -6.721867  -3.207505  0.522087  1.161040  0.501159 
169.725000  18.642467  -6.704451  -3.199988  0.520722  1.161532  0.501394 
175.200000  18.650278  -6.687028  -3.192467  0.519356  1.162023  0.501629 
180.675000  18.658068  -6.669598  -3.184943  0.517989  1.162513  0.501862 
186.150000  18.665838  -6.652160  -3.177415  0.516622  1.163002  0.502096 
191.625000  18.673587  -6.634715  -3.169883  0.515255  1.163489  0.502329 
197.100000  18.681316  -6.617263  -3.162348  0.513887  1.163975  0.502561 
202.575000  18.689024  -6.599803  -3.154810  0.512518  1.164460  0.502792 
208.050000  18.696712  -6.582336  -3.147268  0.511149  1.164944  0.503024 
213.525000  18.704379  -6.564862  -3.139723  0.509780  1.165426  0.503254 
219.000000  18.712026  -6.547381  -3.132174  0.508410  1.165907  0.503484 
224.475000  18.719652  -6.529892  -3.124622  0.507039  1.166386  0.503714 
229.950000  18.727258  -6.512396  -3.117066  0.505668  1.166864  0.503942 
235.425000  18.734843  -6.494893  -3.109507  0.504296  1.167341  0.504171 
240.900000  18.742407  -6.477383  -3.101944  0.502924  1.167817  0.504398 
246.375000  18.749951  -6.459866  -3.094378  0.501552  1.168291  0.504626 
251.850000  18.757474  -6.442342  -3.086809  0.500179  1.168765  0.504852 
257.325000  18.764977  -6.424810  -3.079236  0.498805  1.169236  0.505078 
262.800000  18.772459  -6.407272  -3.071660  0.497431  1.169707  0.505304 
268.275000  18.779921  -6.389726  -3.064080  0.496056  1.170176  0.505529 
273.750000  18.787361  -6.372173  -3.056497  0.494681  1.170644  0.505753 
279.225000  18.794782  -6.354614  -3.048911  0.493305  1.171110  0.505977 
284.700000  18.802181  -6.337047  -3.041321  0.491929  1.171576  0.506200 
290.175000  18.809560  -6.319473  -3.033728  0.490553  1.172040  0.506423 
295.650000  18.816918  -6.301893  -3.026132  0.489176  1.172502  0.506645 
301.125000  18.824256  -6.284305  -3.018532  0.487798  1.172964  0.506866 
306.600000  18.831573  -6.266711  -3.010929  0.486420  1.173424  0.507087 
312.075000  18.838869  -6.249109  -3.003323  0.485041  1.173883  0.507308 
317.550000  18.846145  -6.231501  -2.995713  0.483662  1.174340  0.507528 
323.025000  18.853400  -6.213886  -2.988101  0.482283  1.174796  0.507747 
328.500000  18.860634  -6.196264  -2.980484  0.480902  1.175251  0.507966 
333.975000  18.867848  -6.178635  -2.972865  0.479522  1.175705  0.508184 
339.450000  18.875040  -6.161000  -2.965242  0.478141  1.176157  0.508401 
344.925000  18.882213  -6.143357  -2.957616  0.476759  1.176608  0.508618 
350.400000  18.889364  -6.125708  -2.949987  0.475377  1.177057  0.508835 
355.875000  18.896495  -6.108052  -2.942354  0.473995  1.177506  0.509051 
361.350000  18.903605  -6.090390  -2.934718  0.472612  1.177953  0.509266 
366.825000  18.910694  -6.072721  -2.927080  0.471229  1.178398  0.509481 
