  Día         X          Y          Z         VX         VY         VZ 
0.000000  -4.100602  -29.570934  -7.902857  1.157814  -0.213020  -0.415622 
3.650000  -4.089024  -29.573064  -7.907013  1.157869  -0.212623  -0.415516 
7.300000  -4.077446  -29.575191  -7.911169  1.157924  -0.212227  -0.415410 
10.950000  -4.065866  -29.577313  -7.915323  1.157978  -0.211831  -0.415304 
14.600000  -4.054287  -29.579431  -7.919476  1.158033  -0.211434  -0.415198 
18.250000  -4.042706  -29.581546  -7.923628  1.158087  -0.211038  -0.415092 
21.900000  -4.031125  -29.583656  -7.927779  1.158141  -0.210642  -0.414986 
25.550000  -4.019544  -29.585762  -7.931929  1.158195  -0.210246  -0.414879 
29.200000  -4.007962  -29.587865  -7.936077  1.158249  -0.209850  -0.414773 
32.850000  -3.996380  -29.589963  -7.940225  1.158303  -0.209453  -0.414667 
36.500000  -3.984796  -29.592058  -7.944372  1.158356  -0.209057  -0.414561 
40.150000  -3.973213  -29.594148  -7.948517  1.158409  -0.208661  -0.414454 
43.800000  -3.961629  -29.596235  -7.952662  1.158463  -0.208265  -0.414348 
47.450000  -3.950044  -29.598318  -7.956805  1.158516  -0.207869  -0.414242 
51.100000  -3.938459  -29.600396  -7.960948  1.158568  -0.207473  -0.414135 
54.750000  -3.926873  -29.602471  -7.965089  1.158621  -0.207077  -0.414029 
58.400000  -3.915287  -29.604542  -7.969229  1.158674  -0.206682  -0.413922 
62.050000  -3.903700  -29.606609  -7.973369  1.158726  -0.206286  -0.413816 
65.700000  -3.892113  -29.608672  -7.977507  1.158778  -0.205890  -0.413709 
69.350000  -3.880525  -29.610730  -7.981644  1.158830  -0.205494  -0.413602 
73.000000  -3.868937  -29.612785  -7.985780  1.158882  -0.205098  -0.413496 
76.650000  -3.857348  -29.614836  -7.989915  1.158934  -0.204703  -0.413389 
80.300000  -3.845759  -29.616883  -7.994049  1.158985  -0.204307  -0.413282 
83.950000  -3.834169  -29.618926  -7.998182  1.159037  -0.203911  -0.413175 
87.600000  -3.822579  -29.620966  -8.002313  1.159088  -0.203516  -0.413069 
91.250000  -3.810988  -29.623001  -8.006444  1.159139  -0.203120  -0.412962 
94.900000  -3.799396  -29.625032  -8.010574  1.159190  -0.202725  -0.412855 
98.550000  -3.787805  -29.627059  -8.014702  1.159241  -0.202329  -0.412748 
102.200000  -3.776212  -29.629082  -8.018830  1.159291  -0.201934  -0.412641 
105.850000  -3.764619  -29.631102  -8.022956  1.159342  -0.201538  -0.412534 
109.500000  -3.753026  -29.633117  -8.027081  1.159392  -0.201143  -0.412427 
113.150000  -3.741432  -29.635129  -8.031206  1.159442  -0.200747  -0.412320 
116.800000  -3.729837  -29.637136  -8.035329  1.159492  -0.200352  -0.412212 
120.450000  -3.718243  -29.639140  -8.039451  1.159542  -0.199957  -0.412105 
124.100000  -3.706647  -29.641139  -8.043572  1.159591  -0.199561  -0.411998 
127.750000  -3.695051  -29.643135  -8.047692  1.159641  -0.199166  -0.411891 
131.400000  -3.683455  -29.645126  -8.051811  1.159690  -0.198771  -0.411784 
135.050000  -3.671858  -29.647114  -8.055929  1.159739  -0.198376  -0.411676 
138.700000  -3.660261  -29.649098  -8.060046  1.159788  -0.197981  -0.411569 
142.350000  -3.648663  -29.651078  -8.064161  1.159837  -0.197586  -0.411461 
146.000000  -3.637064  -29.653054  -8.068276  1.159885  -0.197190  -0.411354 
149.650000  -3.625465  -29.655025  -8.072389  1.159934  -0.196795  -0.411246 
153.300000  -3.613866  -29.656993  -8.076502  1.159982  -0.196400  -0.411139 
156.950000  -3.602266  -29.658957  -8.080613  1.160030  -0.196005  -0.411031 
160.600000  -3.590666  -29.660917  -8.084724  1.160078  -0.195611  -0.410924 
