  Día         X          Y          Z         VX         VY         VZ 
0.000000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
1.000100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
2.000200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
3.000300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
4.000400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
5.000500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
6.000600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
7.000700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
8.000800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
9.000900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
10.001000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
11.001100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
12.001200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
13.001300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
14.001400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
15.001500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
16.001600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
17.001700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
18.001800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
19.001900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
20.002000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
21.002100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
22.002200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
23.002300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
24.002400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
25.002500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
26.002600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
27.002700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
28.002800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
29.002900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
30.003000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
31.003100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
32.003200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
33.003300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
34.003400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
35.003500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
36.003600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
37.003700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
38.003800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
39.003900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
40.004000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
41.004100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
42.004200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
43.004300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
44.004400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
45.004500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
46.004600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
47.004700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
48.004800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
49.004900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
50.005000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
51.005100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
52.005200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
53.005300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
54.005400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
55.005500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
56.005600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
57.005700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
58.005800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
59.005900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
60.006000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
61.006100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
62.006200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
63.006300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
64.006400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
65.006500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
66.006600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
67.006700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
68.006800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
69.006900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
70.007000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
71.007100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
72.007200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
73.007300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
74.007400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
75.007500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
76.007600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
77.007700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
78.007800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
79.007900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
80.008000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
81.008100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
82.008200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
83.008300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
84.008400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
85.008500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
86.008600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
87.008700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
88.008800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
89.008900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
90.009000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
91.009100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
92.009200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
93.009300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
94.009400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
95.009500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
96.009600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
97.009700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
98.009800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
99.009900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
100.010000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
101.010100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
102.010200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
103.010300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
104.010400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
105.010500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
106.010600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
107.010700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
108.010800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
109.010900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
110.011000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
111.011100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
112.011200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
113.011300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
114.011400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
115.011500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
116.011600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
117.011700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
118.011800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
119.011900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
120.012000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
121.012100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
122.012200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
123.012300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
124.012400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
125.012500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
126.012600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
127.012700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
128.012800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
129.012900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
130.013000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
131.013100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
132.013200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
133.013300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
134.013400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
135.013500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
136.013600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
137.013700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
138.013800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
139.013900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
140.014000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
141.014100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
142.014200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
143.014300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
144.014400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
145.014500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
146.014600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
147.014700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
148.014800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
149.014900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
150.015000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
151.015100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
152.015200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
153.015300  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
154.015400  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
155.015500  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
156.015600  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
157.015700  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
158.015800  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
159.015900  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
160.016000  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
161.016100  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
162.016200  -0.388956  -0.566700  -0.230345  6.180716  -3.503724  -1.967484 
