   x           F(x)           I(x)
1.000000    1.000000    0.000000 
10.000000    100.000000    333.095703 
19.000000    361.000000    2286.224365 
28.000000    784.000000    7315.903809 
37.000000    1369.000000    16885.744141 
46.000000    2116.000000    32445.333984 
55.000000    3025.000000    55460.648438 
64.000000    4096.000000    87383.382812 
73.000000    5329.000000    129685.171875 
82.000000    6724.000000    183798.093750 
91.000000    8281.000000    251182.031250 
100.000000    10000.000000    333365.781250 
